Site,Date,Comment
Jyndevad,15-04-2015,BBCH 30
Jyndevad,15-04-2015,Biomass 64.5 g m-2 - 100% DM
Jyndevad,16-04-2015,Fertilization 4 P, 20 K, kg ha-1
Jyndevad,17-04-2015,Fertilization 50.0 N, kg ha-1
Jyndevad,20-04-2015,BBCH 31
Jyndevad,28-04-2015,BBCH 32
Jyndevad,04-05-2015,BBCH 33
Jyndevad,08-05-2015,BBCH 34
Jyndevad,08-05-2015,Opus + Comet (epoxiconazole+pyraclostrobin) - fungi - 1.0 L ha-1+1.0 L ha-1 (i.e 125g a.i. ha-1+250g a.i. ha-1)
Jyndevad,13-05-2015,BBCH 35
Jyndevad,18-05-2015,BBCH 37
Jyndevad,26-05-2015,BBCH 43
Jyndevad,01-06-2015,BBCH 47
Jyndevad,09-06-2015,BBCH 55
Jyndevad,09-06-2015,Biomass 949.1 g m-2 - 100% DM
Jyndevad,11-06-2015,BBCH 57
